Date,Close,High,Low,Open,Volume
2020-01-02,72.468246,72.528566,71.223244,71.476585,135480400
2020-01-03,71.763710,72.523738,71.539322,71.696152,146322800
2020-01-06,72.335541,72.374146,70.634524,70.885457,118387200
2020-01-07,71.995361,72.600968,71.775796,72.345212,108872000
2020-01-08,73.153511,73.455110,71.698596,71.698596,132079200
2020-01-09,74.707359,74.900380,73.879773,74.130698,170108400
2020-01-10,74.876228,75.440829,74.374370,74.941378,140644800
2020-01-13,76.475922,76.502466,75.074089,75.192321,121532000
2020-01-14,75.443245,76.623105,75.320197,76.413193,161954400
2020-01-15,75.119919,76.123642,74.688027,75.242974,121923600
2020-01-16,76.060898,76.171892,75.300869,75.662788,108829200
2020-01-17,76.902969,76.905377,76.002995,76.309417,137816400
2020-01-21,76.381798,76.972928,76.244267,76.531390,110843200
2020-01-22,76.654465,77.206989,76.560362,76.866784,101832400
2020-01-23,77.023613,77.103232,76.159829,76.707538,104472000
2020-01-24,76.801651,78.012871,76.611038,77.269734,146537600
2020-01-27,74.543274,75.223676,73.561265,74.811091,161940000
2020-01-28,76.652031,76.823337,75.324995,75.423920,162234000
2020-01-29,78.256538,79.103431,77.542354,78.283083,216229200
2020-01-30,78.143150,78.196232,76.907801,77.339693,126743200
2020-01-31,74.678383,77.856028,74.384022,77.433789,199588400
2020-02-03,74.473305,75.638681,72.919465,73.421323,173788400
2020-02-04,76.931923,77.122536,75.672444,76.077792,136616400
2020-02-05,77.559265,78.357899,76.956067,78.058708,118826800
2020-02-06,78.466461,78.468876,77.272133,77.829487,105425600
2020-02-07,77.399902,78.214942,76.908943,77.965835,117684000
2020-02-10,77.767494,77.767494,75.905239,75.985046,109348800
2020-02-11,77.298317,78.335864,77.080652,78.263311,94323200
2020-02-12,79.133980,79.138814,77.748165,77.748165,113730400
2020-02-13,78.570473,78.896974,78.202860,78.406015,94747600
2020-02-14,78.589813,78.838921,78.081923,78.539019,80113600
2020-02-18,77.150795,77.332184,76.089061,76.270450,152531200
2020-02-19,78.268143,78.497905,77.392640,77.392640,93984000
2020-02-20,77.465195,78.517252,76.959725,78.028714,100566000
2020-02-21,75.711754,77.501464,75.095034,77.058871,129554000
2020-02-24,72.115425,73.566537,69.950854,71.892925,222195200
