Date,LSTM_Forecast,XGB_Forecast
2025-12-13,129.05925,229.2627
2025-12-14,129.05925,229.2627
2025-12-15,129.05925,229.2627
2025-12-16,129.05925,229.2627
2025-12-17,129.05925,229.2627
2025-12-18,129.05925,229.2627
2025-12-19,129.05925,229.2627
2025-12-20,129.05925,229.2627
2025-12-21,129.05925,229.2627
2025-12-22,129.05925,229.2627
2025-12-23,129.05925,229.2627
2025-12-24,129.05925,229.2627
2025-12-25,129.05925,229.2627
2025-12-26,129.05925,229.2627
2025-12-27,129.05925,229.2627
2025-12-28,129.05925,229.2627
2025-12-29,129.05925,229.2627
2025-12-30,129.05925,229.2627
2025-12-31,129.05925,229.2627
2026-01-01,129.05925,229.2627
2026-01-02,129.05925,229.2627
2026-01-03,129.05925,229.2627
2026-01-04,129.05925,229.2627
2026-01-05,129.05925,229.2627
2026-01-06,129.05925,229.2627
2026-01-07,129.05925,229.2627
2026-01-08,129.05925,229.2627
2026-01-09,129.05925,229.2627
2026-01-10,129.05925,229.2627
2026-01-11,129.05925,229.2627
